Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
1.184770	1.170571	0.011592	2.113541	21.580000	2.106781	22.020000	
0.943226	0.903811	0.011289	1.699463	40.680000	1.691037	40.790000	
0.927988	0.864873	0.010783	1.423227	53.720000	1.405045	53.530000	
0.944222	0.855843	0.010788	1.312655	57.420000	1.292356	57.870000	
0.929061	0.820225	0.010323	1.261574	59.440000	1.244914	59.830000	
0.956023	0.821492	0.010439	1.222811	61.380000	1.204924	61.880000	
0.948545	0.793152	0.010197	1.185871	63.140000	1.177472	63.590000	
0.960730	0.780315	0.010268	1.162816	64.020000	1.154717	64.820000	
0.988131	0.783137	0.010282	1.123942	65.360000	1.124831	66.090000	
1.027314	0.791458	0.010588	1.095230	67.000000	1.104669	66.840000	
1.042816	0.784308	0.010504	1.064837	68.060000	1.077731	68.240000	
1.048374	0.767703	0.010416	1.061520	69.120000	1.065353	69.060000	
1.093150	0.780121	0.010679	1.028879	70.200000	1.034035	70.110000	
1.110244	0.776251	0.010554	1.042007	70.060000	1.054294	69.870000	
1.159702	0.790088	0.010877	1.024846	70.280000	1.034586	70.050000	
1.144662	0.765340	0.010442	1.015504	70.460000	1.019567	70.600000	
1.203640	0.789537	0.010700	1.019261	70.580000	1.018684	70.560000	
1.176530	0.758875	0.010182	1.010416	71.380000	1.005511	71.580000	
1.226899	0.776945	0.010380	0.988572	72.160000	0.989605	72.140000	
1.213272	0.755080	0.010025	0.977112	72.680000	0.975138	72.810000	
1.262716	0.769083	0.010282	0.968567	73.400000	0.977180	72.680000	
1.284409	0.766928	0.010268	0.977392	72.820000	0.976982	72.450000	
1.312812	0.774766	0.010200	0.950731	73.860000	0.949804	73.300000	
1.316258	0.766187	0.009987	0.940563	74.140000	0.946437	73.280000	
1.339432	0.763158	0.010036	0.924638	74.600000	0.931718	73.970000	
1.370082	0.761729	0.010182	0.939197	74.780000	0.946228	73.770000	
1.386809	0.764859	0.010011	0.936713	75.020000	0.936794	74.130000	
1.400973	0.761780	0.009920	0.918583	74.760000	0.921529	74.260000	
1.441935	0.772581	0.010020	0.900956	75.320000	0.908128	74.650000	
1.431298	0.757355	0.009745	0.900660	75.640000	0.902827	74.870000	
1.466797	0.760572	0.009878	0.899378	75.820000	0.901763	74.900000	
1.481366	0.765850	0.009690	0.890090	75.600000	0.886279	75.380000	
