Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
1.724885	1.714702	0.007950	2.071444	23.920000	2.059720	24.380000	
1.450013	1.414463	0.010066	1.356962	55.420000	1.343709	55.810000	
1.329075	1.266267	0.010691	0.871070	73.580000	0.860173	73.680000	
1.263258	1.172280	0.011096	0.682807	78.880000	0.676786	78.710000	
1.163748	1.048968	0.010884	0.598085	81.460000	0.593831	81.500000	
1.151458	1.007848	0.011143	0.541863	83.100000	0.541167	83.150000	
1.147858	0.977762	0.011164	0.507566	84.660000	0.508914	84.450000	
1.129080	0.935461	0.011009	0.490861	85.580000	0.492975	85.250000	
1.154347	0.933706	0.011081	0.479470	86.260000	0.483457	85.780000	
1.186514	0.941410	0.011004	0.472805	86.780000	0.477487	86.410000	
1.168851	0.904191	0.010759	0.465388	86.920000	0.468030	86.610000	
1.196982	0.908759	0.010694	0.452706	87.420000	0.456159	87.130000	
1.253064	0.931594	0.010981	0.451355	87.680000	0.454211	87.460000	
1.253692	0.916974	0.010641	0.441940	88.300000	0.445694	88.080000	
1.247763	0.895130	0.010369	0.438856	88.360000	0.442952	88.170000	
1.277357	0.899359	0.010412	0.430367	88.880000	0.430831	88.450000	
1.287706	0.891086	0.010258	0.426389	88.840000	0.428054	88.520000	
1.335187	0.907423	0.010432	0.424292	89.160000	0.428437	88.600000	
1.320803	0.884932	0.010051	0.423103	89.260000	0.424541	88.920000	
1.358498	0.893170	0.010185	0.415920	89.140000	0.417860	88.980000	
1.408286	0.912766	0.010313	0.417821	89.240000	0.422663	89.000000	
1.373982	0.877254	0.009862	0.410772	89.660000	0.418233	89.230000	
1.431016	0.897451	0.010118	0.405338	89.740000	0.409343	89.380000	
1.413263	0.873882	0.009788	0.404587	89.580000	0.407634	89.440000	
1.481098	0.902639	0.010074	0.403325	89.780000	0.404864	89.740000	
1.472527	0.891562	0.009722	0.395995	90.160000	0.402556	89.640000	
1.510699	0.889721	0.009998	0.398142	90.080000	0.405244	89.580000	
1.547717	0.904780	0.009977	0.398204	90.100000	0.403106	89.700000	
1.516087	0.877109	0.009565	0.397191	90.180000	0.400739	89.820000	
1.551159	0.886546	0.009612	0.395820	90.320000	0.400901	89.910000	
1.596255	0.898957	0.009757	0.393513	90.360000	0.396562	89.870000	
1.679240	0.924990	0.010219	0.392763	90.220000	0.394982	90.240000	
